"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","5.41","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2018 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdu3/~edisp/minfin057174.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","6.92","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2021 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","6.47","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2020 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270875.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","6.05","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2019 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mtqy/~edisp/minfin1142298.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","6.64","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2022 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","7.73","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2023 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4z/mzg4/~edisp/minfin3388665.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","11.79","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/2021%20Budget.pdf ; http://www.gov.ai/documents/finance/2022%20Budget.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","13.48","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2019%20GOA%20Budget.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","14.20","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2019%20GOA%20Budget.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","12.79","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/2021%20Budget.pdf ; http://www.gov.ai/documents/finance/2022%20Budget.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","12.56","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/finance/2022%20Budget.pdf)"
"SDG: Europe and Northern America","Albania","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","10.13","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Albania","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","10.97","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Albania","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","11.40","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Albania","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","9.83","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Andorra","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","6.61",""
"SDG: Europe and Northern America","Andorra","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","6.94","SOURCE:  Estats pressupostaris i financers Exercici 2020 (2020); Retail Price Index (2020) (https://www.finances.ad/images/stories/Docs/LiquidacioComptes_2020_PendetAprovacio.pdf; https://www.estadistica.ad/portal/apps/sites/#/estadistica-ca/pages/estadistiques-i-dades-detall?Idioma=ca&N2=303&N3=16&DV=2621&From=2019/01&To=2022/06&Var=)"
"SDG: Europe and Northern America","Andorra","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","13.26",""
"SDG: Europe and Northern America","Andorra","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","6.35","SOURCE:  Pressupost per a l'exercici 2022 (2022) (https://www.finances.ad/images/stories/Docs/Pressupost_2021.pdf)"
"SDG: Europe and Northern America","Andorra","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","10.40",""
"SDG: Northern Africa and Western Asia","United Arab Emirates","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","14.76",""
"SDG: Northern Africa and Western Asia","United Arab Emirates","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","12.80",""
"SDG: Northern Africa and Western Asia","United Arab Emirates","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","13.57",""
"SDG: Latin America and the Caribbean","Argentina","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","12.28",""
"SDG: Latin America and the Caribbean","Argentina","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","12.42",""
"SDG: Latin America and the Caribbean","Argentina","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","12.52",""
"SDG: Latin America and the Caribbean","Argentina","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","12.53",""
"SDG: Northern Africa and Western Asia","Armenia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","8.99","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Armenia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","9.67","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Armenia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","10.01","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Armenia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","9.57","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Latin America and the Caribbean","Antigua and Barbuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","9.45","SOURCE:  Antigua Budget 2020; Barbuda Budget 2020 (https://ab.gov.ag/detail_page.php?page=33)"
"SDG: Latin America and the Caribbean","Antigua and Barbuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","10.41","SOURCE:  2022 Budget Estimates Recurrent & Development (https://ab.gov.ag/pdf/budget/2022_Antigua_Estimates.pdf)"
"SDG: Latin America and the Caribbean","Antigua and Barbuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","10.30","SOURCE:  2022 Budget Estimates Recurrent & Development (https://ab.gov.ag/pdf/budget/2022_Antigua_Estimates.pdf)"
"SDG: Latin America and the Caribbean","Antigua and Barbuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","9.27","SOURCE:  Antigua Budget 2021; Barbuda Budget 2021 (https://ab.gov.ag/detail_page.php?page=33)"
"SDG: Latin America and the Caribbean","Antigua and Barbuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","8.54","SOURCE:  Antigua Budget 2019; Barbuda Budget 2019 (https://ab.gov.ag/detail_page.php?page=33)"
"SDG: Oceania","Australia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","13.13","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Oceania","Australia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","15.06","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Oceania","Australia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","15.25","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Oceania","Australia","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","14.39","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Austria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","9.89","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Austria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","8.85","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Austria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","8.96","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Austria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","9.81","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Azerbaijan","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","8.45","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Azerbaijan","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","10.79","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Azerbaijan","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","8.59","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Azerbaijan","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","9.80","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Sub-Saharan Africa","Burundi","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","20.44","SOURCE:  Budget general des recettes et des depenses ordinaires et en capital (http://finances.gov.bi/wp-content/uploads/2021/01/loi-des-finances-2020-2021_2020-07-08_1142_1.pdf)"
"SDG: Sub-Saharan Africa","Burundi","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","20.64","SOURCE:  Budget general des recettes et des depenses ordinaires et en capital (http://finances.gov.bi/wp-content/uploads/2021/07/Loi-portant-fixation-du-Budget-General-de-la-Republique-du-Burundi-Exercice-2021-2022-compressed-1.pdf)"
"SDG: Sub-Saharan Africa","Burundi","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","19.52",""
"SDG: Sub-Saharan Africa","Burundi","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","20.74","SOURCE:  Budget general des recettes et des depenses ordinaires et en capital (http://finances.gov.bi/wp-content/uploads/2021/01/fixation-du-budget-general-2019-2020.pdf)"
"SDG: Sub-Saharan Africa","Burundi","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","21.22","SOURCE:  Budget general des recettes et des depenses ordinaires et en capital (http://finances.gov.bi/wp-content/uploads/2021/01/Loi-budgetaire-2018_2019.pdf)"
"SDG: Europe and Northern America","Belgium","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","11.88","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Belgium","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","11.82","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Belgium","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","11.15","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Belgium","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","11.32","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Sub-Saharan Africa","Benin","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","17.60","SOURCE:  Tableau de Classification fonctionnelle Economique 2019 - 2024 (https://budgetbenin.bj/publications/?sub_menu_id=5&mymainlink_id=8)"
"SDG: Sub-Saharan Africa","Benin","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","17.19","SOURCE:  Tableau de Classification fonctionnelle Economique 2019 - 2024 (https://budgetbenin.bj/publications/?sub_menu_id=5&mymainlink_id=8)"
"SDG: Sub-Saharan Africa","Benin","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","17.71","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Sub-Saharan Africa","Benin","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","18.44","SOURCE:  Tableau de Classification fonctionnelle Economique 2019 - 2024 (https://budgetbenin.bj/publications/?sub_menu_id=5&mymainlink_id=8)"
"SDG: Sub-Saharan Africa","Benin","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","19.04","SOURCE:  LOI DE FINANCES POUR LA GESTION 2023 (https://budgetbenin.bj/wp-content/uploads/2022/12/TMC-Fonc-Economique.pdf)"
"SDG: Sub-Saharan Africa","Burkina Faso","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","21.11","SOURCE:  Loi de Finances 2020 (https://www.dgb.gov.bf/index.php?option=com_edocman&task=document.viewdoc&id=1632&Itemid=)"
"SDG: Sub-Saharan Africa","Burkina Faso","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","20.30","SOURCE:  Tableau general des depenses par section et par programme 2023 (https://www.dgb.gov.bf/index.php?option=com_edocman&view=document&id=1811)"
"SDG: Sub-Saharan Africa","Burkina Faso","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","22.66","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Sub-Saharan Africa","Burkina Faso","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","20.89","SOURCE:  Loi de Finances 2019 (https://www.dgb.gov.bf/index.php?option=com_edocman&task=document.viewdoc&id=1583&Itemid=)"
"SDG: Sub-Saharan Africa","Burkina Faso","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","21.96","SOURCE:  Tableau general des depenses par section et par programme 2022 (https://www.dgb.gov.bf/index.php?option=com_edocman&task=document.viewdoc&id=1747&Itemid=)"
"SDG: Sub-Saharan Africa","Burkina Faso","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","21.56","SOURCE:  Loi de Finances 2021 (https://www.dgb.gov.bf/index.php?option=com_edocman&task=document.viewdoc&id=1667&Itemid=)"
"SDG: Central and Southern Asia","Bangladesh","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","10.39","SOURCE:  Budget Speech 2020-2021 (http://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/ca4218f7_7fe3_4e9a_afd4_5eb7dc7c0477/speech.zip)"
"SDG: Central and Southern Asia","Bangladesh","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","10.22","SOURCE:  Budget Speech 2020-2021 (http://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/ca4218f7_7fe3_4e9a_afd4_5eb7dc7c0477/speech.zip)"
"SDG: Central and Southern Asia","Bangladesh","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","11.96","SOURCE:  Budget Speech 2020-2021 (http://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/ca4218f7_7fe3_4e9a_afd4_5eb7dc7c0477/speech.zip)"
"SDG: Central and Southern Asia","Bangladesh","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","11.33","SOURCE:  Budget Speech 2020-2021 (http://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/ca4218f7_7fe3_4e9a_afd4_5eb7dc7c0477/speech.zip)"
"SDG: Central and Southern Asia","Bangladesh","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","11.73","SOURCE:  Statement 7: Consolidated Fund - Expenditure 2021-22; Budget at a glance 2021-2022 (https://mof.gov.bd/sites/default/files/files/mof.portal.gov.bd/budget_mof/5abc2315_0842_440b_b9d0_d972c98f4e86/AFS_07_E.pdf; https://mof.gov.bd/sites/default/files/files/mof.portal.gov.bd/budget_mof/61fa2d4c_f1ca_4f81_9ac4_0bb3f7365a3c/ST_00_E_(At_Galance).pdf)"
"SDG: Central and Southern Asia","Bangladesh","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","12.01","SOURCE:  National Budget Speech 2022-2023 (https://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/b29661b6_927f_4012_9f83_5ac47dbd6ebd/BG%20Press_Speech%202022-23%20English%20Final.pdf)"
"SDG: Europe and Northern America","Bulgaria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","10.48","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Bulgaria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","9.46","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Bulgaria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","9.54","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Bulgaria","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","10.56","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Northern Africa and Western Asia","Bahrain","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","9.08","SOURCE:  Budget Law 2021  2022 Tables (https://www.mofne.gov.bh/FinancialDetail.aspx?a=CI1191)"
"SDG: Northern Africa and Western Asia","Bahrain","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","9.30","SOURCE:  Budget Law 2021  2022 Tables (https://www.mofne.gov.bh/FinancialDetail.aspx?a=CI1191)"
"SDG: Northern Africa and Western Asia","Bahrain","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","9.87","SOURCE:  Budget Law 2019  2020 Tables (https://www.mofne.gov.bh/FinancialDetail.aspx?a=CI1651)"
"SDG: Northern Africa and Western Asia","Bahrain","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","9.37","SOURCE:  Budget Law 2019  2020 Tables (https://www.mofne.gov.bh/FinancialDetail.aspx?a=CI1651)"
"SDG: Northern Africa and Western Asia","Bahrain","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","10.82","SOURCE:  Budget Law 2017  2018 Tables (https://www.mofne.gov.bh/FinancialDetail.aspx?a=CI1193)"
"SDG: Latin America and the Caribbean","Bahamas","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","12.28","SOURCE:  Draft Estimates Revenue and Expenditure 2021-2022 (https://www.bahamas.gov.bs/wps/wcm/connect/e519750c-c56a-4cf9-8e34-0ae99524533c/FY2021-22_BudgetBook_FINAL_05262021_430am.pdf?MOD=AJPERES)"
"SDG: Latin America and the Caribbean","Bahamas","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","11.44","SOURCE:  Draft Estimates of Revenue and Expenditure 2022 - 2023 (https://www.bahamas.gov.bs/wps/wcm/connect/f3199d3d-c23e-4a54-b9b1-ee1ddc47a8ca/FY2022-23_Budget_20220525-055026_FINAL.pdf?MOD=AJPERES)"
"SDG: Latin America and the Caribbean","Bahamas","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","11.29","SOURCE:  Draft Estimates Revenue and Expenditure 2019-2020 (https://www.bahamas.gov.bs/wps/wcm/connect/b98e387f-5471-4fb1-bb92-83fb56345f3d/Budget+Draft+Estimates.pdf?MOD=AJPERES)"
"SDG: Latin America and the Caribbean","Bahamas","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","12.18","SOURCE:  Draft Estimates of Revenue and Expenditure 2020 (https://www.bahamas.gov.bs/wps/wcm/connect/25338711-9013-481f-87ea-2c3ca84bb69b/Draft+Estimates+of+Revenue+and+Expenditure+2020-compressed.pdf?MOD=AJPERES)"
"SDG: Latin America and the Caribbean","Bahamas","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","11.60","SOURCE:  Draft Estimates of Revenue and Expenditure - 2023-2024 - 50th Independence Edition (https://www.bahamas.gov.bs/wps/wcm/connect/4702c666-cdce-4a4a-bccc-76f7bf31dd29/FY2023-24_Budget_20230531-FINAL_031300.pdf?MOD=AJPERES)"
"SDG: Latin America and the Caribbean","Bahamas","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","12.68","SOURCE:  Draft Estimates Revenue and Expenditure 2018-2019 (https://www.bahamas.gov.bs/wps/wcm/connect/94c5874f-5a59-4900-b4bb-9c5c77628354/20_2019+BUDGET+DRAFT+OF+REV+reduced.pdf?MOD=AJPERES)"
"SDG: Europe and Northern America","Belarus","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","12.87","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Belarus","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","13.26","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Europe and Northern America","Belarus","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","13.08","SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023"
"SDG: Latin America and the Caribbean","Belize","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","22.22",""
"SDG: Latin America and the Caribbean","Belize","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","22.15",""
"SDG: Latin America and the Caribbean","Belize","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","17.83",""
"SDG: Latin America and the Caribbean","Belize","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","17.95",""
"SDG: Latin America and the Caribbean","Belize","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","17.45","SOURCE:  Aproved estimates of revenue and expenditures for fiscal year 2023/2024 (https://mof.gov.bz/wp-content/uploads/2023/04/iwery3gb.pdf)"
"SDG: Latin America and the Caribbean","Belize","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","18.99",""
"SDG: Europe and Northern America","Bermuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","12.29","SOURCE:  Estimates of Revenue and Expenditure 2020-2021 (https://www.gov.bm/sites/default/files/Budget_Book_Combined_2020_0.pdf)"
"SDG: Europe and Northern America","Bermuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","12.44","SOURCE:  Estimates of Revenue and Expenditure 2020-2021 (https://www.gov.bm/sites/default/files/Budget_Book_Combined_2020_0.pdf)"
"SDG: Europe and Northern America","Bermuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","12.18","SOURCE:  Estimates of Revenue and Expenditure 2023-2024 (https://www.gov.bm/sites/default/files/Budget%20Book%202023-2024%20FINAL.pdf)"
"SDG: Europe and Northern America","Bermuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","11.53","SOURCE:  Estimates of Revenue and Expenditure 2023-2024 (https://www.gov.bm/sites/default/files/Budget%20Book%202023-2024%20FINAL.pdf)"
"SDG: Europe and Northern America","Bermuda","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","11.84","SOURCE:  Estimates of Revenue and Expenditure 2018-2019 (https://www.gov.bm/sites/default/files/Budget-Book-2018-full-version_sm.pdf)"
